"0","weights = weightit(exp_vax ~ age + factor(seas) + factor(multip) + factor(comp) + factor(comorb) + factor(ster) + factor(rur) + factor(phu) + factor(par) + factor(quint) + factor(care) + factor(smk) +factor(matai),"
"0","                   data = data, "
"0","                   estimand = ""ATE"","
"0","                   stabilize = T,"
"0","                   method = ""ps"")"
"0",""
"0","summary(weights$weights)"
"1","   Min. "
"1","1st Qu. "
"1"," Median "
"1","   Mean "
"1","3rd Qu. "
"1","   Max. "
"1","
"
"1"," 0.5570 "
"1"," 0.7944 "
"1"," 0.9230 "
"1"," 1.0004 "
"1"," 1.1254 "
"1"," 8.5599 "
"1","
"
