"0","# model specification for maternal vaccination"
"0","# variables are the same ones from the SAS code plus maternal ai"
"0",""
"0","# 1. estimate ps using glm"
"0","fit.ps = glm(exp_vax ~ age + factor(seas) + factor(multip) + factor(comp) + factor(comorb) + factor(ster) + factor(rur) + factor(phu) + factor(par) + factor(quint) + factor(care) + factor(smk) + factor(matai), data=data, family=binomial) "
"0","# get the predicted values  "
"0","data$ps = predict(fit.ps, type=""response"")"
"0",""
"0","# apply the summary function to the two exposure groups"
"0","tapply(data$ps, data$exp_vax, summary)"
"1","$`0`
"
"1","   Min. "
"1","1st Qu. "
"1"," Median "
"1","   Mean "
"1","3rd Qu. "
"1","   Max. "
"1","
"
"1","0.05057 "
"1","0.32686 "
"1","0.45612 "
"1","0.43271 "
"1","0.53776 "
"1","0.83940 "
"1","
"
"1","
"
"1","$`1`
"
"1","   Min. "
"1","1st Qu. "
"1"," Median "
"1","   Mean "
"1","3rd Qu. "
"1","   Max. "
"1","
"
"1","0.05444 "
"1","0.44183 "
"1","0.52250 "
"1","0.50423 "
"1","0.58624 "
"1","0.83665 "
"1","
"
"1","
"
